aggregation_timestamp,n_requests,operation,snapshot_id,n_context,n_context_tokens_total,n_generated,n_generated_tokens_total
2023-07-18T19:40:00.000Z,2,completion,gpt-3.5-turbo-0613,2,2126,2,728
2023-07-18T19:45:00.000Z,4,completion,gpt-3.5-turbo-0613,4,4210,4,1350
2023-07-18T21:25:00.000Z,1,completion,text-davinci:003,1,200,1,92
2023-07-18T21:30:00.000Z,2,completion,text-davinci:003,2,400,2,56
2023-07-19T02:30:00.000Z,3,completion,gpt-3.5-turbo-0613,3,1560,3,3163
2023-07-19T04:05:00.000Z,1,completion,text-davinci:003,1,8,1,10
2023-07-19T04:10:00.000Z,3,completion,davinci:ft-sj-innovation-2023-07-16-08-32-19,3,310,3,582
2023-07-19T04:10:00.000Z,4,completion,gpt-3.5-turbo-0613,4,3918,4,1238
2023-07-19T04:15:00.000Z,1,completion,davinci:ft-sj-innovation-2023-07-16-08-32-19,1,109,1,200
2023-07-19T04:15:00.000Z,4,completion,gpt-3.5-turbo-0613,4,1467,4,891
2023-07-19T04:20:00.000Z,2,completion,davinci:ft-sj-innovation-2023-07-16-08-32-19,2,199,2,390
2023-07-19T04:25:00.000Z,2,completion,gpt-3.5-turbo-0613,2,989,2,77
2023-07-19T04:40:00.000Z,1,completion,gpt-4-0613,1,13,1,23
2023-07-19T04:45:00.000Z,5,completion,gpt-4-0613,5,60,5,124
2023-07-19T04:45:00.000Z,6,completion,text-davinci:003,6,1066,6,1015
2023-07-19T05:10:00.000Z,1,completion,text-davinci:003,1,226,1,179
2023-07-19T05:15:00.000Z,1,completion,text-davinci:003,1,28,1,204
2023-07-19T05:25:00.000Z,5,completion,text-davinci:003,5,924,5,1122
2023-07-19T05:40:00.000Z,2,completion,text-davinci:003,2,435,2,571
2023-07-19T05:45:00.000Z,6,completion,gpt-3.5-turbo-0613,6,1050,6,825
2023-07-19T06:25:00.000Z,1,completion,davinci:ft-sj-innovation-2023-07-16-08-32-19,1,90,1,200
2023-07-19T06:30:00.000Z,2,completion,text-davinci:003,2,361,2,141
2023-07-19T07:35:00.000Z,1,completion,gpt-4-0613,1,13,1,297
2023-07-19T08:05:00.000Z,1,completion,gpt-4-0613,1,12,1,94
2023-07-19T08:25:00.000Z,2,completion,text-davinci:003,2,254,2,527
2023-07-19T09:10:00.000Z,1,completion,text-davinci:003,1,28,1,5
2023-07-19T09:20:00.000Z,23,completion,text-davinci:003,23,4763,23,2203
2023-07-19T09:35:00.000Z,2,completion,gpt-4-0613,2,93,2,141
2023-07-19T09:50:00.000Z,1,completion,gpt-4-0613,1,13,1,57
2023-07-19T09:50:00.000Z,1,completion,davinci:ft-sj-innovation-2023-07-16-08-32-19,1,108,1,200
2023-07-19T10:10:00.000Z,1,completion,text-davinci:003,1,274,1,275
2023-07-19T10:15:00.000Z,1,completion,gpt-4-0613,1,10,1,90
2023-07-19T10:25:00.000Z,2,completion,text-davinci:003,2,327,2,452
2023-07-19T10:40:00.000Z,1,completion,gpt-4-0613,1,10,1,93
2023-07-19T10:40:00.000Z,1,completion,text-davinci:003,1,28,1,300
2023-07-19T10:45:00.000Z,1,completion,text-davinci:003,1,28,1,277
2023-07-19T10:50:00.000Z,1,completion,text-davinci:003,1,271,1,226
2023-07-19T11:10:00.000Z,2,completion,text-davinci:003,2,380,2,415
2023-07-19T11:15:00.000Z,3,completion,gpt-4-0613,3,497,3,162
2023-07-19T11:20:00.000Z,2,completion,gpt-4-0613,2,841,2,129
2023-07-19T11:50:00.000Z,1,completion,text-davinci:003,1,97,1,256
2023-07-19T11:55:00.000Z,4,completion,gpt-3.5-turbo-0613,4,1787,4,1030
2023-07-19T12:20:00.000Z,2,completion,gpt-3.5-turbo-0613,2,730,2,594
2023-07-19T12:25:00.000Z,4,completion,gpt-3.5-turbo-0613,4,2218,4,637
2023-07-19T12:30:00.000Z,2,completion,text-davinci:003,2,121,2,408
2023-07-19T12:35:00.000Z,3,completion,text-davinci:003,3,205,3,608
